TF	Target
YAL051W	YPL005W
YAL051W	YPL013C
YAL051W	YPL014W
YAL051W	YPL015C
YAL051W	YPL016W
YAL051W	YPL017C
YAL051W	YPL024W
YAL051W	YPL025C
YAL051W	YPL026C
YAL051W	YPL031C
YAL051W	YPL032C
YAL051W	YPL034W
YAL051W	YPL036W
YAL051W	YPL040C
YAL051W	YPL049C
YAL051W	YPL051W
YAL051W	YPL054W
YAL051W	YPL057C
YAL051W	YPL061W
YAL051W	YPL063W
YAL051W	YPL066W
YAL051W	YPL090C
YAL051W	YPL092W
YAL051W	YPL093W
YAL051W	YPL095C
YAL051W	YPL111W
YAL051W	YPL112C
YAL051W	YPL118W
YAL051W	YPL119C-A
YAL051W	YPL129W
YAL051W	YPL135W
YAL051W	YPL137C
YAL051W	YPL141C
YAL051W	YPL147W
YAL051W	YPL156C
YAL051W	YPL157W
YAL051W	YPL163C
YAL051W	YPL177C
YAL051W	YPL182C
YAL051W	YPL189C-A
YAL051W	YPL189W
YAL051W	YPL215W
YAL051W	YPL223C
YAL051W	YPL230W
YAL051W	YPL250C
YAL051W	YPL262W
YAL051W	YPL263C
YAL051W	YPL265W
YAL051W	YPL273W
YAL051W	YPL274W
YAL051W	YPL280W
YAL051W	YPR001W
YAL051W	YPR013C
YAL051W	YPR019W
YAL051W	YPR029C
YAL051W	YPR030W
YAL051W	YPR035W
YAL051W	YPR036W-A
YAL051W	YPR040W
YAL051W	YPR054W
YAL051W	YPR063C
YAL051W	YPR065W
YAL051W	YPR070W
YAL051W	YPR072W
YAL051W	YPR074C
YAL051W	YPR080W
YAL051W	YPR098C
YAL051W	YPR100W
YAL051W	YPR128C
YAL051W	YPR129W
YAL051W	YPR148C
YAL051W	YPR149W
YAL051W	YPR151C
YAL051W	YPR156C
YAL051W	YPR157W
YAL051W	YPR192W
YAL051W	YPR196W
YAR050W	YAL003W
YAR050W	YAL012W
YAR050W	YAL022C
YAR050W	YAL040C
YAR050W	YAL063C
YAR050W	YAR027W
YAR050W	YAR028W
YAR050W	YAR042W
YAR050W	YAR050W
YAR050W	YBL006C
YAR050W	YBL010C
YAR050W	YBL015W
YAR050W	YBL016W
YAR050W	YBL027W
YAR050W	YBL028C
YAR050W	YBL029C-A
YAR050W	YBL030C
YAR050W	YBL040C
YAR050W	YBL051C
YAR050W	YBL059C-A
YAR050W	YBL082C
YAR050W	YBL107C
YAR050W	YBL107W-A
YAR050W	YBR006W
YAR050W	YBR009C
YAR050W	YBR010W
YAR050W	YBR052C
YAR050W	YBR054W
YAR050W	YBR058C
YAR050W	YBR066C
YAR050W	YBR068C
YAR050W	YBR072C-A
YAR050W	YBR074W
YAR050W	YBR082C
YAR050W	YBR083W
YAR050W	YBR092C
YAR050W	YBR093C
YAR050W	YBR103W
YAR050W	YBR118W
YAR050W	YBR119W
YAR050W	YBR122C
YAR050W	YBR126C
YAR050W	YBR133C
