Uniprot_ID;Gene_ID;Gene;Function;Essentiality_Y_N;Essentiality_0_1;Essentiality_0_1keeping;Essentiality_0_11notkeeping
P27863;b3850;hemG;Protoporphyrinogen oxidase (EC 1.3.3.4);E;1;1;0
P23871;b0475;hemH;Ferrochelatase (EC 4.99.1.1);E;1;1;1
P37186;b1212;hemK;Protein methyltranferase hemK (EC 2.1.1.-);E;1;1;0
P23893;b0154;hemL;Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8);E;1;1;0
P32131;b3867;hemN;Oxygen-independent coproporphyrinogen III oxidase (EC 1.-.-.-);N;0;0;0
P09127;b3803;hemX;Putative uroporphyrin-III C-methyltransferase (EC 2.1.1.107);N;0;0;0
P09128;b3802;hemY;HemY protein;N;0;0;0
P23852;b0059;hepA;RNA polymerase associated protein;N;0;0;0
P46118;b1853;hexR;Hex regulon repressor;N;0;0;0
P28691;b3178;hflB;Cell division protein ftsH (EC 3.4.24.-);N;0;0;0
P25661;b4175;hflC;HflC protein (EC 3.4.-.-);N;0;0;0
P25662;b4174;hflK;HflK protein;N;0;0;0
P25519;b4173;hflX;GTP-binding protein hflX;N;0;0;0
P25521;b4172;hfq;Hfq protein;E;1;1;1
P23870;b0460;hha;Haemolysin expression modulating protein;N;0;1;1
P23874;b1507;hipA;Protein hipA;N;0;0;0
P23873;b1508;hipB;Protein hipB;?;0;0;0
P10371;b2024;hisA;1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16);N;0;1;1
P06987;b2022;hisB;Histidine biosynthesis bifunctional protein hisB;N;0;1;1
P06986;b2021;hisC;Histidinol-phosphate aminotransferase (EC 2.6.1.9);N;0;1;1
P06988;b2020;hisD;Histidinol dehydrogenase (EC 1.1.1.23);N;0;1;1
P10373;b2025;hisF;Imidazole glycerol phosphate synthase subunit hisF (EC 4.1.3.-);N;0;1;1
P10366;b2019;hisG;ATP phosphoribosyltransferase (EC 2.4.2.17);X;0;1;1
P10375;b2023;hisH;Imidazole glycerol phosphate synthase subunit hisH (EC 2.4.2.-);N;0;1;1
P06989;b2026;hisI;Histidine biosynthesis bifunctional protein hisIE;N;0;0;0
P39182;b2309;hisJ;Histidine-binding periplasmic protein precursor;N;0;0;0
P20091;b2307;hisM;Histidine transport system permease protein hisM;N;0;0;0
P07109;b2306;hisP;Histidine transport ATP-binding protein hisP;N;0;0;0
P52094;b2308;hisQ;Histidine transport system permease protein hisQ;N;0;0;0
P04804;b2514;hisS;Histidyl-tRNA synthetase (EC 6.1.1.21);E;1;1;1
P11457;b0178;hlpA;Histone-like protein HLP-1 precursor;N;0;0;0
P77335;b1182;hlyE;Hemolysin E, chromosomal;N;0;0;0
