Gene;Gene_ID;Phenotype;Essentiality_0_1
AUA1;YFL010W-A;viable;0
AUS1;YOR011W;viable;0
AVL9;YLR114C;viable;0
AVO2;YMR068W;viable;0
AVT1;YJR001W;viable;0
AVT2;YEL064C;viable;0
AVT3;YKL146W;viable;0
AVT4;YNL101W;viable;0
AVT5;YBL089W;viable;0
AVT6;YER119C;viable;0
AVT7;YIL088C;viable;0
AXL1;YPR122W;viable;0
AXL2;YIL140W;viable;0
AXL2;YIL140W;viable;0
AYR1;YIL124W;viable;0
AYR1;YIL124W;viable;0
AYR1;YIL124W;viable;0
AYT1;YLL063C;viable;0
AZF1;YOR113W;viable;0
AZF1;YOR113W;viable;0
AZR1;YGR224W;viable;0
AZR1;YGR224W;viable;0
AZR1;YGR224W;viable;0
AZR1;YGR224W;viable;0
BAG7;YOR134W;viable;0
BAP2;YBR068C;viable;0
BAP3;YDR046C;viable;0
BAR1;YIL015W;viable;0
BAS1;YKR099W;viable;0
BAS1;YKR099W;viable;0
BAT1;YHR208W;viable;0
BAT2;YJR148W;viable;0
BAT2;YJR148W;viable;0
BBC1;YJL020C;viable;0
BBC1;YJL020C;viable;0
BCH1;YMR237W;viable;0
BCH2;YKR027W;viable;0
BCK1;YJL095W;viable;0
BCK1;YJL095W;viable;0
BCK2;YER167W;viable;0
BCS1;YDR375C;viable;0
BCY1;YIL033C;viable;0
BDF1;YLR399C;viable;0
BDF2;YDL070W;viable;0
BDF2;YDL070W;viable;0
BDH1;YAL060W;viable;0
BDH1;YAL060W;viable;0
BDH2;YAL061W;viable;0
BDH2;YAL061W;viable;0
BEM1;YBR200W;viable;0
BEM1;YBR200W;viable;0
BEM2;YER155C;viable;0
BEM3;YPL115C;viable;0
BEM3;YPL115C;viable;0
BEM4;YPL161C;viable;0
BEM4;YPL161C;viable;0
BEM4;YPL161C;viable;0
BER1;YLR412W;viable;0
BFA1;YJR053W;viable;0
BFA1;YJR053W;viable;0
BFR1;YOR198C;viable;0
BGL2;YGR282C;viable;0
BGL2;YGR282C;viable;0
BIG1;YHR101C;viable;0
BIG1;YHR101C;viable;0
BIK1;YCL029C;viable;0
BIL1;YOR304C-A;viable;0
BIL2;YGL015C;viable;0
BIL2;YGL015C;viable;0
BIM1;YER016W;viable;0
BIO2;YGR286C;viable;0
BIO3;YNR058W;viable;0
BIO4;YNR057C;viable;0
BIO5;YNR056C;viable;0
BIR1;YJR089W;viable;0
BIR1;YJR089W;viable;0
BIT2;YBR270C;viable;0
BIT2;YBR270C;viable;0
BIT61;YJL058C;viable;0
BLI1;YKL061W;viable;0
BLM10;YFL007W;viable;0
BLS1;YLR408C;viable;0
BMH1;YER177W;viable;0
BMH1;YER177W;viable;0
BMH2;YDR099W;viable;0
BMH2;YDR099W;viable;0
BMT2;YBR141C;viable;0
BMT5;YIL096C;viable;0
BMT6;YLR063W;viable;0
BNA1;YJR025C;viable;0
BNA2;YJR078W;viable;0
BNA3;YJL060W;viable;0
BNA4;YBL098W;viable;0
BNA5;YLR231C;viable;0
BNA6;YFR047C;viable;0
BNA7;YDR428C;viable;0
BNI1;YNL271C;viable;0
BNI4;YNL233W;viable;0
BNI4;YNL233W;viable;0
BNI5;YNL166C;viable;0
BNI5;YNL166C;viable;0
BNR1;YIL159W;viable;0
BNR1;YIL159W;viable;0
BNS1;YGR230W;viable;0
BOI1;YBL085W;viable;0
BOI2;YER114C;viable;0
BOL2;YGL220W;viable;0
BOL2;YGL220W;viable;0
BOL3;YAL046C;viable;0
BOP2;YLR267W;viable;0
BOP3;YNL042W;viable;0
BOR1;YNL275W;viable;0
BPH1;YCR032W;viable;0
BPT1;YLL015W;viable;0
BRE1;YDL074C;viable;0
BRE2;YLR015W;viable;0
BRE2;YLR015W;viable;0
BRE2;YLR015W;viable;0
BRE4;YDL231C;viable;0
BRE5;YNR051C;viable;0
BRO1;YPL084W;viable;0
BRP1;YGL007W;viable;0
BRR1;YPR057W;viable;0
BSC1;YDL037C;viable;0
BSC4;YNL269W;viable;0
BSC5;YNR069C;viable;0
BSC6;YOL137W;viable;0
BSD2;YBR290W;viable;0
BSP1;YPR171W;viable;0
BST1;YFL025C;viable;0
BST1;YFL025C;viable;0
BTN2;YGR142W;viable;0
BTN2;YGR142W;viable;0
BTS1;YPL069C;viable;0
BTS1;YPL069C;viable;0
BTT1;YDR252W;viable;0
BTT1;YDR252W;viable;0
BUB1;YGR188C;viable;0
BUB2;YMR055C;viable;0
BUB3;YOR026W;viable;0
BUD13;YGL174W;viable;0
BUD13;YGL174W;viable;0
BUD14;YAR014C;viable;0
BUD16;YEL029C;viable;0
BUD17;YNR027W;viable;0
BUD19;YJL188C;viable;0
BUD2;YKL092C;viable;0
BUD2;YKL092C;viable;0
BUD20;YLR074C;viable;0
BUD21;YOR078W;viable;0
BUD22;YMR014W;viable;0
BUD23;YCR047C;viable;0
BUD26;YDR241W;viable;0
BUD26;YDR241W;viable;0
BUD27;YFL023W;viable;0
BUD28;YLR062C;viable;0
BUD3;YCL014W;viable;0
BUD31;YCR063W;viable;0
BUD32;YGR262C;viable;0
BUD4;YJR092W;viable;0
BUD6;YLR319C;viable;0
BUD7;YOR299W;viable;0
BUD8;YLR353W;viable;0
BUD9;YGR041W;viable;0
BUG1;YDL099W;viable;0
BUL1;YMR275C;viable;0
BUL1;YMR275C;viable;0
BUL2;YML111W;viable;0
BUL2;YML111W;viable;0
BUR2;YLR226W;viable;0
BXI1;YNL305C;viable;0
BYE1;YKL005C;viable;0
BZZ1;YHR114W;viable;0
